State,District,Year,Month,Insolation (in kWh/m²)
Manipur,Ukhrul,2024,July,137
Manipur,Thoubal,2024,July,135
Arunachal Pradesh,Tirap,2024,July,136
Nagaland,Mon,2024,July,144
Mizoram,Aizawl,2024,July,160
Mizoram,Lunglei,2024,July,156
Arunachal Pradesh,Lohit,2024,July,125
Maharashtra,Thane,2024,July,92
Maharashtra,Mumbai,2024,July,98
Maharashtra,Raigarh,2024,July,97
Maharashtra,Pune,2024,July,75
Maharashtra,Ratnagiri,2024,July,82
Maharashtra,Sindhudurg,2024,July,81
Maharashtra,Ahmednagar,2024,July,86
Maharashtra,Satara,2024,July,73
Maharashtra,Sangli,2024,July,87
Maharashtra,Kolhapur,2024,July,79
Maharashtra,Chhatrapati Sambhajinagar,2024,July,82
Maharashtra,Jalna,2024,July,73
Maharashtra,Beed,2024,July,105
Maharashtra,Solapur,2024,July,100
Karnataka,Vijayapura,2024,July,93
Goa,North Goa,2024,July,82
Karnataka,Belagavi,2024,July,88
Karnataka,Uttara Kannada,2024,July,77
Karnataka,Dakshina Kannada,2024,July,79
Kerala,Kasaragod,2024,July,78
Karnataka,Dharwad,2024,July,91
Karnataka,Shivamogga,2024,July,83
Karnataka,Chikkamagaluru,2024,July,85
Karnataka,Kodagu,2024,July,80
Lakshadweep,Lakshadweep,2024,July,102
Kerala,Kannur,2024,July,82
Kerala,Kozhikode,2024,July,84
Maharashtra,Parbhani,2024,July,85
Maharashtra,Latur,2024,July,109
Maharashtra,Dharashiv,2024,July,103
Karnataka,Kalaburagi,2024,July,109
Maharashtra,Nanded,2024,July,87
Karnataka,Bidar,2024,July,112
Telangana,Mahabubnagar,2024,July,107
Karnataka,Raichur,2024,July,109
Telangana,Adilabad,2024,July,86
Telangana,Nizamabad,2024,July,91
Telangana,Sangareddy,2024,July,109
Telangana,Hyderabad,2024,July,108
Maharashtra,Chandrapur,2024,July,83
Telangana,Karimnagar,2024,July,90
Telangana,Hanumakonda,2024,July,95
Telangana,Nalgonda,2024,July,92
Karnataka,Ballari,2024,July,114
Karnataka,Chitradurga,2024,July,93
Karnataka,Hassan,2024,July,90
Karnataka,Mandya,2024,July,92
Karnataka,Mysuru,2024,July,90
Andhra Pradesh,Ananthapuramu,2024,July,99
Karnataka,Tumakuru,2024,July,99
Karnataka,Bengaluru (Urban),2024,July,94
Andhra Pradesh,Kurnool,2024,July,94
Andhra Pradesh,Ysr Kadapa,2024,July,90
Karnataka,Kolara,2024,July,91
Tamil Nadu,Dharmapuri,2024,July,93
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,July,93
Andhra Pradesh,Chittoor,2024,July,89
Tamil Nadu,Vellore,2024,July,84
Tamil Nadu,Kanchipuram,2024,July,107
Kerala,Wayanad,2024,July,79
Tamil Nadu,The Nilgiris,2024,July,83
Kerala,Malappuram,2024,July,85
Tamil Nadu,Coimbatore,2024,July,101
Kerala,Palakkad,2024,July,84
Kerala,Thrissur,2024,July,85
Kerala,Ernakulam,2024,July,90
Kerala,Kottayam,2024,July,95
Kerala,Alappuzha,2024,July,96
Kerala,Idukki,2024,July,90
Kerala,Thiruvananthapuram,2024,July,108
Kerala,Kollam,2024,July,106
Tamil Nadu,Erode,2024,July,104
Tamil Nadu,Virudhunagar,2024,July,112
Tamil Nadu,Tirunelveli,2024,July,119
Tamil Nadu,Kanniyakumari,2024,July,120
Tamil Nadu,Salem,2024,July,101
Tamil Nadu,Tiruchirappalli,2024,July,112
Tamil Nadu,Pudukkottai,2024,July,121
Tamil Nadu,Madurai,2024,July,116
Tamil Nadu,Ramanathapuram,2024,July,132
Puducherry,Puducherry,2024,July,121
Tamil Nadu,Cuddalore,2024,July,121
Puducherry,Karaikal,2024,July,127
Tamil Nadu,Thanjavur,2024,July,118
Telangana,Khammam,2024,July,89
Andhra Pradesh,Guntur,2024,July,89
Andhra Pradesh,Krishna,2024,July,92
Andhra Pradesh,Eluru,2024,July,87
Chhattisgarh,Bastar,2024,July,87
Odisha,Koraput,2024,July,75
Andhra Pradesh,Kakinada,2024,July,87
Puducherry,Yanam,2024,July,90
Odisha,Kalahandi,2024,July,84
Andhra Pradesh,Srikakulam,2024,July,97
Andhra Pradesh,Vizianagaram,2024,July,92
Andhra Pradesh,Visakhapatnam,2024,July,93
Andhra Pradesh,Prakasam,2024,July,91
Tamil Nadu,Chennai,2024,July,111
Andaman and Nicobar Islands,South andamans,2024,July,106
Uttar Pradesh,Kheri,2024,July,115
Uttar Pradesh,Ambedkar Nagar,2024,July,125
Uttar Pradesh,Sant Kabir Nagar,2024,July,124
Uttar Pradesh,Kaushambi,2024,July,132
Uttar Pradesh,Chitrakoot,2024,July,129
Uttar Pradesh,Kushinagar,2024,July,142
Bihar,Kaimur,2024,July,130
Uttar Pradesh,Chandauli,2024,July,131
Jharkhand,Garhwa,2024,July,140
Uttar Pradesh,Bhadohi,2024,July,127
Jharkhand,Chatra,2024,July,135
Gujarat,Narmada,2024,July,97
Maharashtra,Nandurbar,2024,July,82
Madhya Pradesh,Barwani,2024,July,91
Gujarat,Panch Mahals,2024,July,91
Gujarat,Dahod,2024,July,90
Gujarat,Anand,2024,July,93
Gujarat,Navsari,2024,July,99
Maharashtra,Washim,2024,July,71
Maharashtra,Gondia,2024,July,94
Madhya Pradesh,Harda,2024,July,88
Madhya Pradesh,Umaria,2024,July,108
Chhattisgarh,Korea,2024,July,121
Chhattisgarh,Kawardha (Kabirdham),2024,July,102
Chhattisgarh,Janjgir - Champa,2024,July,105
Jharkhand,Simdega,2024,July,124
Chhattisgarh,Jashpur,2024,July,122
Chhattisgarh,Mahasamund,2024,July,98
Odisha,Nuaparha,2024,July,100
Madhya Pradesh,Dindori,2024,July,95
Chhattisgarh,Korba,2024,July,117
Uttar Pradesh,Hathras,2024,July,90
Odisha,Bargarh,2024,July,106
Chhattisgarh,Uttar Bastar Kanker,2024,July,99
Chhattisgarh,Dhamtari,2024,July,93
Odisha,Nabarangapur,2024,July,78
Chhattisgarh,Dakshin Bastar Dantewara,2024,July,79
Bihar,Buxar,2024,July,135
Bihar,Sheohar,2024,July,135
Jharkhand,Koderma,2024,July,133
Bihar,Jamui,2024,July,151
Jharkhand,Saraikela-Kharsawan,2024,July,112
Bihar,Kishanganj,2024,July,139
West Bengal,Uttar Dinajpur,2024,July,147
Bihar,Araria,2024,July,146
Uttar Pradesh,Gautam Buddha Nagar,2024,July,81
Bihar,Banka,2024,July,154
Jharkhand,Pakur,2024,July,146
Bihar,Lakhisarai,2024,July,148
Bihar,Sheikhpura,2024,July,147
West Bengal,Purba Medinipur,2024,July,144
West Bengal,North Twenty-Four Parganas,2024,July,140
Jharkhand,West Singhbhum,2024,July,113
Odisha,Nayagarh,2024,July,93
Odisha,Boudh,2024,July,119
Odisha,Boudh,2024,July,110
Odisha,Deogarh,2024,July,121
Odisha,Jajapur,2024,July,134
Odisha,Bhadrak,2024,July,139
Odisha,Jagatsinghpur,2024,July,130
Odisha,Kendrapara,2024,July,129
Odisha,Anugul,2024,July,111
Odisha,Malkangiri,2024,July,77
Odisha,Rayagarha,2024,July,80
Odisha,Gajapati,2024,July,94
Odisha,Jharsuguda,2024,July,117
Jharkhand,Jamtara,2024,July,131
Bihar,Vaishali,2024,July,139
Bihar,Samastipur,2024,July,138
Jharkhand,Latehar,2024,July,128
Karnataka,Bagalkot,2024,July,85
Goa,South Goa,2024,July,81
Tamil Nadu,Thiruvallur,2024,July,104
Karnataka,Udupi,2024,July,76
Bihar,Patna,2024,July,141
Haryana,Jhajjar,2024,July,83
Uttar Pradesh,Baghpat,2024,July,82
Haryana,Panipat,2024,July,84
Uttar Pradesh,Auraiya,2024,July,96
Uttar Pradesh,Shrawasti,2024,July,131
Uttar Pradesh,Balrampur,2024,July,128
Uttar Pradesh,Mahrajganj,2024,July,132
Arunachal Pradesh,Lower Dibang Valley,2024,July,122
Arunachal Pradesh,Anjaw,2024,July,131
Arunachal Pradesh,Kurung Kumey,2024,July,175
Telangana,Hyderabad,2024,July,108
Jammu and Kashmir,Kathua,2024,July,114
Karnataka,Haveri,2024,July,93
Karnataka,Davanagere,2024,July,99
Tamil Nadu,Tiruvannamalai,2024,July,100
Karnataka,Chamarajanagara,2024,July,91
Tamil Nadu,Namakkal,2024,July,107
Tamil Nadu,Karur,2024,July,109
Tamil Nadu,Viluppuram,2024,July,112
Tamil Nadu,Perambalur,2024,July,104
Tamil Nadu,Ariyalur,2024,July,112
Tamil Nadu,Theni,2024,July,103
Tamil Nadu,Dindigul,2024,July,112
Arunachal Pradesh,Upper Siang,2024,July,134
Arunachal Pradesh,Changlang,2024,July,134
Assam,Tinsukia,2024,July,145
Assam,Dhemaji,2024,July,150
Arunachal Pradesh,Lower Subansiri,2024,July,157
Chhattisgarh,Surajpur,2024,July,126
Jharkhand,Khunti,2024,July,115
Chhattisgarh,Mungeli,2024,July,108
Chhattisgarh,Bemetara,2024,July,106
Chhattisgarh,Baloda Bazar,2024,July,109
Uttar Pradesh,Shamli,2024,July,88
Punjab,Fazilka,2024,July,115
Punjab,Barnala,2024,July,99
Punjab,Tarn Taran,2024,July,98
Uttar Pradesh,Hapur,2024,July,82
Uttar Pradesh,Kasganj,2024,July,93
Madhya Pradesh,Agar Malwa,2024,July,97
Rajasthan,Pratapgarh,2024,July,93
Gujarat,Morbi,2024,July,105
Gujarat,Botad,2024,July,76
Gujarat,Chhotaudepur,2024,July,93
Maharashtra,Palghar,2024,July,80
Gujarat,Devbhumi Dwarka,2024,July,80
Jharkhand,Ramgarh,2024,July,122
Chhattisgarh,Balrampur,2024,July,135
Chhattisgarh,Gariyaband,2024,July,96
Chhattisgarh,Balod,2024,July,97
Chhattisgarh,Narayanpur,2024,July,90
Chhattisgarh,Bijapur,2024,July,87
Chhattisgarh,Sukma,2024,July,83
Chhattisgarh,Kondagaon,2024,July,86
Karnataka,Ramanagara,2024,July,91
Tamil Nadu,Tiruppur,2024,July,107
Tamil Nadu,Krishnagiri,2024,July,86
Mizoram,Lawngtlai,2024,July,170
Manipur,Imphal West,2024,July,133
Nagaland,Peren,2024,July,169
Nagaland,Dimapur,2024,July,179
Nagaland,Kiphire,2024,July,158
Assam,Udalguri,2024,July,141
Chhattisgarh,Surguja,2024,July,119
Chhattisgarh,Raigarh,2024,July,111
Odisha,Sambalpur,2024,July,113
Odisha,Balangir,2024,July,107
Bihar,Pashchimi Champaran,2024,July,137
Bihar,Purbi Champaran,2024,July,133
Bihar,Gopalganj,2024,July,137
Bihar,Siwan,2024,July,136
Uttar Pradesh,Ballia,2024,July,134
Bihar,Saran,2024,July,134
Bihar,Bhojpur,2024,July,135
Bihar,Jahanabad,2024,July,142
Bihar,Rohtas,2024,July,133
Bihar,Aurangabad,2024,July,139
Jharkhand,Palamu,2024,July,140
Bihar,Sitamarhi,2024,July,130
Bihar,Darbhanga,2024,July,136
Bihar,Muzaffarpur,2024,July,136
Bihar,Nalanda,2024,July,148
Bihar,Nawada,2024,July,148
Bihar,Gaya,2024,July,146
Bihar,Madhubani,2024,July,139
Bihar,Madhepura,2024,July,143
Bihar,Saharsa,2024,July,143
Bihar,Khagaria,2024,July,147
Bihar,Begusarai,2024,July,144
Bihar,Munger,2024,July,148
Bihar,Bhagalpur,2024,July,155
Jharkhand,Deoghar,2024,July,142
Jharkhand,Giridih,2024,July,128
Bihar,Purnia,2024,July,145
Bihar,Katihar,2024,July,148
Jharkhand,Sahibganj,2024,July,152
Jharkhand,Godda,2024,July,149
Jharkhand,Dumka,2024,July,144
Jharkhand,Lohardaga,2024,July,119
Jharkhand,Gumla,2024,July,120
Odisha,Sundargarh,2024,July,113
Odisha,Kandhamal,2024,July,99
Jharkhand,Hazaribagh,2024,July,130
Jharkhand,Ranchi,2024,July,115
Odisha,Keonjhar (Kendujhar),2024,July,122
Odisha,Dhenkanal,2024,July,117
Odisha,Cuttack,2024,July,125
Odisha,Khordha,2024,July,113
Jharkhand,Dhanbad,2024,July,128
West Bengal,Puruliya,2024,July,117
Jharkhand,East Singhbhum,2024,July,113
Odisha,Mayurbhanj,2024,July,139
Odisha,Balasore,2024,July,154
West Bengal,Birbhum,2024,July,140
West Bengal,Bankura,2024,July,123
West Bengal,Purba Barddhaman,2024,July,133
West Bengal,Paschim Medinipur,2024,July,131
Odisha,Ganjam,2024,July,105
Sikkim,Gangtok,2024,July,132
West Bengal,Darjiling,2024,July,142
West Bengal,Jalpaiguri,2024,July,143
West Bengal,Dakshin Dinajpur,2024,July,161
West Bengal,Maldah,2024,July,158
West Bengal,Murshidabad,2024,July,155
West Bengal,Koch Bihar,2024,July,148
Assam,Kokrajhar,2024,July,141
Assam,Goalpara,2024,July,144
Meghalaya,East Garo Hills,2024,July,144
Meghalaya,West Garo Hills,2024,July,148
Arunachal Pradesh,Shi Yomi,2024,July,171
Arunachal Pradesh,Lepa Rada,2024,July,132
Arunachal Pradesh,Namsai,2024,July,138
Arunachal Pradesh,Kra Daadi,2024,July,179
Arunachal Pradesh,Kra Daadi,2024,July,170
Arunachal Pradesh,Longding,2024,July,151
Arunachal Pradesh,Siang,2024,July,136
Haryana,Nuh,2024,July,84
Chhattisgarh,Gaurela-Pendra-Marwahi,2024,July,117
Jammu and Kashmir,Rajauri,2024,July,119
Jammu and Kashmir,Doda,2024,July,153
Jammu and Kashmir,Samba,2024,July,109
Jammu and Kashmir,Ramban,2024,July,135
Jammu and Kashmir,Shupiyan,2024,July,143
Jammu and Kashmir,Kulgam,2024,July,159
Jammu and Kashmir,Pulwama,2024,July,165
Jammu and Kashmir,Badgam,2024,July,173
Jammu and Kashmir,Bandipura,2024,July,177
Jammu and Kashmir,Kupwara,2024,July,167
Jammu and Kashmir,Ganderbal,2024,July,188
Punjab,Gurdaspur,2024,July,108
Punjab,Amritsar,2024,July,94
Punjab,Hoshiarpur,2024,July,107
Himachal Pradesh,Chamba,2024,July,140
Himachal Pradesh,Lahul & Spiti,2024,July,153
Himachal Pradesh,Mandi,2024,July,129
Himachal Pradesh,Hamirpur,2024,July,119
Himachal Pradesh,Una,2024,July,106
Himachal Pradesh,Kullu,2024,July,149
Himachal Pradesh,Kinnaur,2024,July,155
Himachal Pradesh,Kangra,2024,July,105
Jammu and Kashmir,Muzaffarabad,2024,July,146
Jammu and Kashmir,Baramula,2024,July,177
Jammu and Kashmir,Punch,2024,July,136
Jammu and Kashmir,Mirpur,2024,July,115
Jammu and Kashmir,Riasi,2024,July,113
Jammu and Kashmir,Jammu,2024,July,109
Jammu and Kashmir,Udhampur,2024,July,114
Jammu and Kashmir,Kishtwar,2024,July,142
Jammu and Kashmir,Anantnag,2024,July,170
Jammu and Kashmir,Srinagar,2024,July,179
Ladakh,Leh,2024,July,203
Jammu and Kashmir,Kathua,2024,July,114
Punjab,Tarn Taran,2024,July,98
Jammu and Kashmir,Rajauri,2024,July,119
Jammu and Kashmir,Doda,2024,July,153
Jammu and Kashmir,Samba,2024,July,109
Jammu and Kashmir,Ramban,2024,July,135
Jammu and Kashmir,Shupiyan,2024,July,143
Jammu and Kashmir,Kulgam,2024,July,159
Jammu and Kashmir,Pulwama,2024,July,165
Jammu and Kashmir,Badgam,2024,July,173
Jammu and Kashmir,Bandipura,2024,July,177
Jammu and Kashmir,Kupwara,2024,July,167
Jammu and Kashmir,Ganderbal,2024,July,188
Punjab,Kapurthala,2024,July,98
Himachal Pradesh,Hamirpur,2024,July,110
Himachal Pradesh,Kullu,2024,July,128
Himachal Pradesh,Kinnaur,2024,July,154
Jammu and Kashmir,Kathua,2024,July,110
Himachal Pradesh,Chamba,2024,July,151
Himachal Pradesh,Lahul & Spiti,2024,July,181
Jammu and Kashmir,Rajauri,2024,July,122
Jammu and Kashmir,Ramban,2024,July,135
Jammu and Kashmir,Kishtwar,2024,July,155
Ladakh,Kargil,2024,July,184
Ladakh,Leh,2024,July,180
Jammu and Kashmir,Baramula,2024,July,169
Jammu and Kashmir,Ganderbal,2024,July,161
Ladakh,Kargil,2024,July,179
Ladakh,Leh,2024,July,168
Ladakh,Leh,2024,July,181
Ladakh,Leh,2024,July,146
Ladakh,Leh,2024,July,165
Ladakh,Leh,2024,July,174
Ladakh,Leh,2024,July,171
Ladakh,Leh,2024,July,183
Ladakh,Leh,2024,July,204
Ladakh,Leh,2024,July,137
Ladakh,Leh,2024,July,159
Ladakh,Leh,2024,July,166
Ladakh,Leh,2024,July,179
Ladakh,Leh,2024,July,155
Lakshadweep,Lakshadweep,2024,July,94
Lakshadweep,Lakshadweep,2024,July,79
Andaman and Nicobar Islands,South andamans,2024,July,109
Andhra Pradesh,Ysr Kadapa,2024,July,86
Andhra Pradesh,Sri Potti Sriramulu Nellore,2024,July,92
Andhra Pradesh,Nandyal,2024,July,95
Andhra Pradesh,Palnadu,2024,July,88
Maharashtra,Solapur,2024,July,91
Telangana,Bhadradri Kothagudem,2024,July,89
Andhra Pradesh,Alluri Sitharama Raju,2024,July,78
Odisha,Rayagarha,2024,July,84
Odisha,Ganjam,2024,July,97
Gujarat,Kachchh,2024,July,99
Gujarat,Kachchh,2024,July,101
Rajasthan,Barmer,2024,July,91
Rajasthan,Jaisalmer,2024,July,102
Rajasthan,Jaisalmer,2024,July,110
Rajasthan,Jaisalmer,2024,July,107
Rajasthan,Bikaner,2024,July,116
Rajasthan,Bikaner,2024,July,115
Arunachal Pradesh,Upper Siang,2024,July,183
Arunachal Pradesh,Dibang Valley,2024,July,182
West Bengal,South 24Parganas,2024,July,149
Rajasthan,Jaisalmer,2024,August,103
Rajasthan,Barmer,2024,August,109
Punjab,Gurdaspur,2024,August,137
Gujarat,Gandhinagar,2024,August,120
Rajasthan,Bikaner,2024,August,118
Punjab,Amritsar,2024,August,129
Punjab,Firozpur,2024,August,135
Punjab,Faridkot,2024,August,139
Punjab,Bathinda,2024,August,136
Rajasthan,Churu,2024,August,118
Punjab,Hoshiarpur,2024,August,143
Punjab,Kapurthala,2024,August,139
Punjab,Jalandhar,2024,August,138
Punjab,Ludhiana,2024,August,137
Punjab,Sangrur,2024,August,136
Haryana,Sirsa,2024,August,139
Haryana,Hisar,2024,August,132
Rajasthan,Jhunjhunun,2024,August,113
Himachal Pradesh,Chamba,2024,August,128
Himachal Pradesh,Lahul & Spiti,2024,August,118
Himachal Pradesh,Mandi,2024,August,144
Himachal Pradesh,Hamirpur,2024,August,134
Himachal Pradesh,Una,2024,August,136
Himachal Pradesh,Bilaspur,2024,August,138
Punjab,Rupnagar,2024,August,142
Haryana,Ambala,2024,August,133
Punjab,Patiala,2024,August,131
Chandigarh,Chandigarh,2024,August,140
Haryana,Karnal,2024,August,124
Haryana,Jind,2024,August,131
Haryana,Kaithal,2024,August,131
Haryana,Rohtak,2024,August,120
Uttarakhand,Bageshwar,2024,August,150
Uttarakhand,Udham Singh Nagar,2024,August,133
Uttar Pradesh,Amroha,2024,August,136
Haryana,Rewari,2024,August,115
Jharkhand,Bokaro,2024,August,122
Tamil Nadu,Thiruvarur,2024,August,162
Haryana,Bhiwani,2024,August,127
Haryana,Mahendragarh,2024,August,112
Himachal Pradesh,Kullu,2024,August,150
Himachal Pradesh,Shimla,2024,August,129
Himachal Pradesh,Solan,2024,August,140
Himachal Pradesh,Sirmaur,2024,August,140
Uttar Pradesh,Saharanpur,2024,August,134
Uttar Pradesh,Muzaffarnagar,2024,August,135
Delhi,Central,2024,August,117
Uttar Pradesh,Meerut,2024,August,132
Haryana,Sonipat,2024,August,118
Uttar Pradesh,Ghaziabad,2024,August,117
Haryana,Gurugram,2024,August,115
Uttar Pradesh,Bulandshahr,2024,August,122
Haryana,Faridabad,2024,August,112
Himachal Pradesh,Kinnaur,2024,August,154
Uttarakhand,Uttarkashi,2024,August,144
Uttarakhand,Dehradun,2024,August,136
Uttarakhand,Pauri Garhwal,2024,August,150
Uttarakhand,Tehri Garhwal,2024,August,147
Uttarakhand,Haridwar,2024,August,134
Uttar Pradesh,Bijnor,2024,August,144
Uttar Pradesh,Moradabad,2024,August,140
Uttarakhand,Chamoli,2024,August,147
Uttarakhand,Almora,2024,August,144
Uttarakhand,Nainital,2024,August,144
Uttar Pradesh,Rampur,2024,August,141
Uttar Pradesh,Pilibhit,2024,August,134
Uttar Pradesh,Bareilly,2024,August,129
Uttar Pradesh,Budaun,2024,August,131
Uttarakhand,Pithoragarh,2024,August,157
Gujarat,Kachchh,2024,August,115
Gujarat,Jamnagar,2024,August,115
Gujarat,Rajkot,2024,August,137
Gujarat,Junagadh,2024,August,129
Dadra and Nagar Haveli and Daman and Diu,Diu,2024,August,129
Gujarat,Surendranagar,2024,August,123
Gujarat,Amreli,2024,August,131
Rajasthan,Jalor,2024,August,112
Rajasthan,Sirohi,2024,August,118
Rajasthan,Nagaur,2024,August,109
Rajasthan,Jodhpur,2024,August,102
Rajasthan,Pali,2024,August,101
Rajasthan,Udaipur,2024,August,117
Rajasthan,Ajmer,2024,August,94
Rajasthan,Bhilwara,2024,August,95
Rajasthan,Chittaurgarh,2024,August,105
Rajasthan,Sikar,2024,August,114
Rajasthan,Jaipur,2024,August,94
Rajasthan,Tonk,2024,August,92
Rajasthan,Bundi,2024,August,93
Rajasthan,Kota,2024,August,106
Madhya Pradesh,Mandsaur,2024,August,127
Gujarat,Gandhinagar,2024,August,117
Gujarat,Mahesana,2024,August,124
Gujarat,Ahmadabad,2024,August,121
Gujarat,Kheda,2024,August,129
Gujarat,Bhavnagar,2024,August,134
Gujarat,Bharuch,2024,August,147
Gujarat,Valsad,2024,August,159
Dadra and Nagar Haveli and Daman and Diu,Daman,2024,August,165
Rajasthan,Dungarpur,2024,August,135
Karnataka,Bengaluru (Urban),2024,August,136
Gujarat,Vadodara,2024,August,140
Gujarat,Dangs,2024,August,129
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2024,August,162
Maharashtra,Nashik,2024,August,141
Rajasthan,Banswara,2024,August,130
Madhya Pradesh,Jhabua,2024,August,129
Maharashtra,Dhule,2024,August,132
Madhya Pradesh,Ratlam,2024,August,137
Madhya Pradesh,Ujjain,2024,August,134
Madhya Pradesh,Indore,2024,August,129
Madhya Pradesh,Dhar,2024,August,127
Madhya Pradesh,Khargone,2024,August,117
Maharashtra,Jalgaon,2024,August,129
Rajasthan,Alwar,2024,August,108
Rajasthan,Sawai Madhopur,2024,August,87
Rajasthan,Jhalawar,2024,August,118
Madhya Pradesh,Rajgarh,2024,August,138
Uttar Pradesh,Mathura,2024,August,116
Rajasthan,Bharatpur,2024,August,116
Rajasthan,Dhaulpur,2024,August,121
Madhya Pradesh,Shivpuri,2024,August,116
Madhya Pradesh,Guna,2024,August,121
Uttar Pradesh,Aligarh,2024,August,119
Uttar Pradesh,Etah,2024,August,125
Uttar Pradesh,Agra,2024,August,119
Uttar Pradesh,Firozabad,2024,August,121
Madhya Pradesh,Bhind,2024,August,118
Madhya Pradesh,Morena,2024,August,124
Madhya Pradesh,Gwalior,2024,August,119
Madhya Pradesh,Datia,2024,August,119
Uttar Pradesh,Jhansi,2024,August,120
Madhya Pradesh,Tikamgarh,2024,August,124
Uttar Pradesh,Lalitpur,2024,August,130
Uttar Pradesh,Farrukhabad,2024,August,123
Uttar Pradesh,Mainpuri,2024,August,130
Uttar Pradesh,Shahjahanpur,2024,August,128
Uttar Pradesh,Etawah,2024,August,127
Uttar Pradesh,Jalaun,2024,August,116
Madhya Pradesh,Chhatarpur,2024,August,119
Madhya Pradesh,Shajapur,2024,August,139
Madhya Pradesh,Dewas,2024,August,141
Madhya Pradesh,Khandwa,2024,August,119
Maharashtra,Buldhana,2024,August,135
Madhya Pradesh,Vidisha,2024,August,133
Madhya Pradesh,Raisen,2024,August,129
Madhya Pradesh,Bhopal,2024,August,137
Madhya Pradesh,Sehore,2024,August,134
Madhya Pradesh,Narmadapuram,2024,August,135
Madhya Pradesh,Betul,2024,August,121
Maharashtra,Amravati,2024,August,117
Maharashtra,Akola,2024,August,117
Madhya Pradesh,Sagar,2024,August,139
Madhya Pradesh,Chhindwara,2024,August,124
Maharashtra,Wardha,2024,August,114
Maharashtra,Yavatmal,2024,August,119
Madhya Pradesh,Jabalpur,2024,August,119
Madhya Pradesh,Narsinghpur,2024,August,128
Madhya Pradesh,Seoni,2024,August,121
Maharashtra,Bhandara,2024,August,119
Maharashtra,Nagpur,2024,August,121
Uttar Pradesh,Sitapur,2024,August,121
Uttar Pradesh,Hardoi,2024,August,124
Uttar Pradesh,Lucknow,2024,August,114
Uttar Pradesh,Unnao,2024,August,119
Uttar Pradesh,Kanpur Nagar,2024,August,117
Uttar Pradesh,Hamirpur,2024,August,108
Uttar Pradesh,Fatehpur,2024,August,110
Uttar Pradesh,Banda,2024,August,112
Madhya Pradesh,Panna,2024,August,116
Assam,Hailakandi,2024,August,129
Bihar,Supaul,2024,August,153
Gujarat,Surat,2024,August,150
Tamil Nadu,Sivaganga,2024,August,155
Tamil Nadu,Thoothukudi,2024,August,170
Maharashtra,Hingoli,2024,August,127
Punjab,Shahid Bhagat Singh Nagar,2024,August,145
Himachal Pradesh,Kangra,2024,August,126
Sikkim,Mangan,2024,August,142
Sikkim,Namchi,2024,August,146
Assam,Dhubri,2024,August,152
Mizoram,Saiha,2024,August,116
Tamil Nadu,Nagapattinam,2024,August,163
Kerala,Pathanamthitta,2024,August,131
Maharashtra,Mumbai Suburban,2024,August,175
Meghalaya,Ri-Bhoi,2024,August,121
Meghalaya,South Garo Hills,2024,August,127
Mizoram,Serchhip,2024,August,131
Mizoram,Champhai,2024,August,126
Mizoram,Mamit,2024,August,143
Mizoram,Kolasib,2024,August,128
Punjab,Fatehgarh Sahib,2024,August,142
Madhya Pradesh,Anuppur,2024,August,101
Madhya Pradesh,Ashoknagar,2024,August,124
Uttarakhand,Champawat,2024,August,151
Uttarakhand,Rudraprayag,2024,August,156
Madhya Pradesh,Burhanpur,2024,August,114
Jammu and Kashmir,Muzaffarabad,2024,August,121
Jammu and Kashmir,Baramula,2024,August,141
Jammu and Kashmir,Punch,2024,August,123
Jammu and Kashmir,Mirpur,2024,August,112
Jammu and Kashmir,Riasi,2024,August,127
Jammu and Kashmir,Jammu,2024,August,129
Jammu and Kashmir,Udhampur,2024,August,130
Jammu and Kashmir,Kishtwar,2024,August,119
Jammu and Kashmir,Anantnag,2024,August,135
Jammu and Kashmir,Srinagar,2024,August,147
Ladakh,Leh,2024,August,151
Gujarat,Tapi,2024,August,141
Madhya Pradesh,Alirajpur,2024,August,128
Uttar Pradesh,Sambhal,2024,August,130
Assam,Chirang,2024,August,165
Uttar Pradesh,Amethi,2024,August,116
Madhya Pradesh,Satna,2024,August,112
Uttar Pradesh,Bahraich,2024,August,116
Haryana,Yamunanagar,2024,August,142
Haryana,Kurukshetra,2024,August,126
Haryana,Fatehabad,2024,August,137
Rajasthan,Hanumangarh,2024,August,128
Punjab,Sri Muktsar Sahib,2024,August,133
Punjab,Moga,2024,August,138
Haryana,Panchkula,2024,August,138
Rajasthan,Dausa,2024,August,103
Rajasthan,Karauli,2024,August,116
Rajasthan,Rajsamand,2024,August,110
Gujarat,Banas Kantha,2024,August,122
Gujarat,Patan,2024,August,128
Gujarat,Sabar Kantha,2024,August,135
Madhya Pradesh,Neemuch,2024,August,115
Rajasthan,Baran,2024,August,113
Madhya Pradesh,Sheopur,2024,August,102
Uttar Pradesh,Mahoba,2024,August,117
West Bengal,Alipur Duar,2024,August,153
Haryana,Palwal,2024,August,113
Madhya Pradesh,Damoh,2024,August,125
Punjab,Mansa,2024,August,131
Tripura,Dhalai,2024,August,148
Madhya Pradesh,Katni,2024,August,118
Uttar Pradesh,Kanpur Dehat,2024,August,119
Uttar Pradesh,Kannauj,2024,August,128
Uttar Pradesh,Gonda,2024,August,115
Uttar Pradesh,Bara Banki,2024,August,120
Uttar Pradesh,Rae Bareli,2024,August,113
